config_name,retrieval_method,use_rerank,prompt_type,question,gold_answer,generated_answer,top_context,em,f1
BM25 + Standard,bm25,False,standard,In what year did Massachusetts first require children to be educated in schools?,1852,computational complexity theory,"Most early Greeks did not even consider 1 to be a number, so they could not consider it to be a prime. By the Middle Ages and Renaissance many mathematicians included 1 as the first prime number. In the mid-18th century Christian Goldbach listed 1 as the first prime in his famous correspondence with Leonhard Euler -- who did not agree. In the 19th century many mathematicians still considered the number 1 to be a prime. For example, Derrick Norman Lehmer's list of primes up to 10,006,721, reprinted as late as 1956, started with 1 as its first prime. Henri Lebesgue is said to be the last professional mathematician to call 1 prime. By the early 20th century, mathematicians began",0,0.0
BM25 + Standard,bm25,False,standard,When were stromules discovered?,1962,1962,"The chloroplast membranes sometimes protrude out into the cytoplasm, forming a stromule, or stroma-containing tubule. Stromules are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase the chloroplast's surface area for cross-membrane transport, because they are often branched and tangled with the endoplasmic reticulum. When they were first observed in 1962, some plant biologists dismissed the structures as artifactual, claiming that stromules were just oddly shaped chloroplasts with constricted regions or dividing chloroplasts. However, there is a growing body of evidence that stromules are functional, integral features of plant cell plastids, not merely artifacts.",1,1.0
BM25 + Standard,bm25,False,standard,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Warsaw.,"Not only the work of British artists and craftspeople is on display, but also work produced by European artists that was purchased or commissioned by British patrons, as well as imports from Asia, including porcelain, cloth and wallpaper. Designers and artists whose work is on display in the galleries include Gian Lorenzo Bernini, Grinling Gibbons, Daniel Marot, Louis Laguerre, Antonio Verrio, Sir James Thornhill, William Kent, Robert Adam, Josiah Wedgwood, Matthew Boulton, Canova, Thomas Chippendale, Pugin, William Morris. Patrons who have influenced taste are also represented by works of art from their collections, these include: Horace Walpole (a major influence on the Gothic Revival), William Thomas Beckford and Thomas Hope.",0,0.0
BM25 + Standard,bm25,False,standard,"In 1890, who did the university decide to team up with?",several regional colleges and universities,Kurt Coleman,"in just 9 starts. Behind them, two of the Panthers three starting linebackers were also selected to play in the Pro Bowl: Thomas Davis and Luke Kuechly. Davis compiled 5½ sacks, four forced fumbles, and four interceptions, while Kuechly led the team in tackles (118) forced two fumbles, and intercepted four passes of his own. Carolina's secondary featured Pro Bowl safety Kurt Coleman, who led the team with a career high seven interceptions, while also racking up 88 tackles and Pro Bowl cornerback Josh Norman, who developed into a shutdown corner during the season and had four interceptions, two of which were returned for touchdowns.",0,0.0
BM25 + Standard,bm25,False,standard,Who got a touchdown making the score 10-7?,Jonathan Stewart,"Ward, it took a long bounce backwards and was recovered by Ward, who returned it five yards to the Panthers 4-yard line.","After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter. Later on, Broncos receiver Jordan Norwood received Brad Nortman's short 28-yard punt surrounded by Panthers players, but none of them attempted to make a tackle, apparently thinking Norwood had called a fair catch. Norwood had not done so, and with no resistance around him, he took off for a Super Bowl record 61-yard return before Mario Addison dragged him down on the Panthers 14-yard line. Despite",0,0.0
BM25 + Standard,bm25,False,standard,How many Examination Boards exist in India?,30,Evolution of the adaptive immune system occurred in an ancestor of the jawed vertebrates.,"subjects in the constitution. The practice has been for the union government to provide the broad policy directions while the states create their own rules and regulations for the administration of the sector. Among other things, this has also resulted in 30 different Examination Boards or academic authorities that conduct examinations for school leaving certificates. Prominent Examination Boards that are present in multiple states are the CBSE and the CISCE, NENBSE",0,0.0
BM25 + Standard,bm25,False,standard,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,"All of ABC's owned-and-operated stations and affiliates have had their own facilities and studios, but transverse entities have been created to produce national programming.","One of the network's strike-replacement programs during that time was the game show Duel, which premiered in December 2007. The program would become a minor success for the network during its initial six-episode run, which led ABC to renew Duel as a regular series starting in April 2008. However, Duel suffered from low viewership during its run as a regular series, and ABC canceled the program after sixteen episodes. On August 15, 2008, Disney denied rumors started by Caris & Co. that it would be selling the ten ABC owned-and-operated stations.",0,0.0
BM25 + Standard,bm25,False,standard,Which network broadcasted the 50th Super Bowl game? ,CBS,"Denver wore blue jerseys, which was their primary color at the time.","In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001.",0,0.0
BM25 + Standard,bm25,False,standard,Why was this short termed organization created?,coordinate the response to the embargo,God is the work of God,"The 1973 oil crisis began in October 1973 when the members of the Organization of Arab Petroleum Exporting Countries (OAPEC, consisting of the Arab members of OPEC plus Egypt and Syria) proclaimed an oil embargo. By the end of the embargo in March 1974, the price of oil had risen from US$3 per barrel to nearly $12 globally; US prices were significantly higher. The embargo caused an oil crisis, or ""shock"", with many short- and long-term effects on global politics and the global economy. It was later called the ""first oil shock"", followed by the 1979 oil crisis, termed the ""second oil shock.""",0,0.16666666666666666
BM25 + Standard,bm25,False,standard,What does LGM stands for?,Last Glacial Maximum,Last Glacial Maximum,"available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",1,1.0
