config_name,prompt_type,question,gold_answer,generated_answer,em,f1
Oracle Context + Grounded,grounded,In what year did Massachusetts first require children to be educated in schools?,1852,1852,1,1.0
Oracle Context + Grounded,grounded,When were stromules discovered?,1962,1962,1,1.0
Oracle Context + Grounded,grounded,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole,1,1.0
Oracle Context + Grounded,grounded,"In 1890, who did the university decide to team up with?",several regional colleges and universities,"Des Moines College, Kalamazoo College, Butler University, and Stetson University",0,0.13333333333333333
Oracle Context + Grounded,grounded,Who got a touchdown making the score 10-7?,Jonathan Stewart,Jonathan Stewart,1,1.0
Oracle Context + Grounded,grounded,How many Examination Boards exist in India?,30,30,1,1.0
Oracle Context + Grounded,grounded,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co.,1,1.0
Oracle Context + Grounded,grounded,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS,1,1.0
Oracle Context + Grounded,grounded,Why was this short termed organization created?,coordinate the response to the embargo,to coordinate the response to the embargo,0,0.923076923076923
Oracle Context + Grounded,grounded,What does LGM stands for?,Last Glacial Maximum,Last Glacial Maximum,1,1.0
Oracle Context + Grounded,grounded,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,"""Reducibility Among Combinatorial Problems""",Reducibility Among Combinatorial Problems,1,1.0
Oracle Context + Grounded,grounded,What Lake in a German island Mainau receives a fraction of the Rhine's flow?,Lake Überlingen,Lake Überlingen,1,1.0
Oracle Context + Grounded,grounded,What studio does ABC own at 1500 Broadway in NYC?,Times Square Studios,Times Square Studios,1,1.0
Oracle Context + Grounded,grounded,How many fraternities are apart of the university?,fifteen,fifteen,1,1.0
Oracle Context + Grounded,grounded,At what address did Goldenson secure a new headquarters for ABC?,1330 Avenue of the Americas in Manhattan,1330 Avenue of the Americas,0,0.8333333333333333
Oracle Context + Grounded,grounded,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders,Bolshevik leaders,1,1.0
Oracle Context + Grounded,grounded,What does the Riemann hypothesis state the source of irregularity in the distribution of points comes from?,random noise,Random noise,1,1.0
Oracle Context + Grounded,grounded,Which work of Luther's is effective in teaching children?,Small Catechism,Small Catechism,1,1.0
Oracle Context + Grounded,grounded,How was the civil disobedience shown in Antigone?,obey her conscience rather than human law,Not enough information,0,0.0
Oracle Context + Grounded,grounded,Where do juvenile platyctenids live?,among the plankton,bottom,0,0.0
Oracle Context + Grounded,grounded,How often are elections held for the Victorian Parliament?,every four years,Elections for the Victorian Parliament are now fixed and occur in November every four years.,0,0.33333333333333337
Oracle Context + Grounded,grounded,What magnetic and electric force acts on a charge?,unified electromagnetic,Electrostatic force,0,0.0
Oracle Context + Grounded,grounded,What kinds of growth did Kublai encourage?,"commercial, scientific, and cultural","commercial, scientific, and cultural",1,1.0
Oracle Context + Grounded,grounded,What was the name of the first episode of the new Doctor Who series?,Rose,Rose,1,1.0
Oracle Context + Grounded,grounded,Each of the extended metropolitan areas has a population that exceeds what number?,five million,five million,1,1.0
Oracle Context + Grounded,grounded,Why is giving a defiant speech sometimes more harmful for the individual?,lack of remorse,Not enough information.,0,0.0
Oracle Context + Grounded,grounded,When were Joseph Schumpeter and Norman Angell at their most prolific writing period?,before World War I,Before World War I,1,1.0
Oracle Context + Grounded,grounded,How do competing businesses attract workers?,offering a higher wage,Offer a higher wage the best of their labor,0,0.46153846153846156
Oracle Context + Grounded,grounded,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,Not enough information.,0,0.0
Oracle Context + Grounded,grounded,What plants create most electric power?,steam turbine,Steam turbine,1,1.0
Oracle Context + Grounded,grounded,The epidemic in Newcastle was the most what in any British city at the time?,devastating loss,devastating loss,1,1.0
Oracle Context + Grounded,grounded,"What additional srevice did BSkyB offer besides Video on Demand that they claimed offered ""substantially more value""?",HD channels,HD channels,1,1.0
Oracle Context + Grounded,grounded,Who did Tesla think would run the world of the future?,women,Queen Bees,0,0.0
Oracle Context + Grounded,grounded,What have many HT members graduated to joining?,terrorist groups,terrorist groups,1,1.0
Oracle Context + Grounded,grounded,Approximately how many items are in the costume collection of the V&A?,"over 14,000","Over 14,000 outfits plus accessories",0,0.5714285714285715
Oracle Context + Grounded,grounded,Which park is home to the Fresno Chafffee Zoo?,Roeding Park,Roeding Park,1,1.0
